price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,Furnished_status,type_of_building,Balcony_missing
5600000.0,"Noida Extension, Noida, Delhi NCR",1350.0,28.60885,77.46056,3.0,3.0,2.0,Under Construction,New Property,Unknown,Flat,1
8800000.0,"Sector 79, Gurgaon, Delhi NCR",1490.0,28.37423557,76.95241631,3.0,3.0,2.0,Ready to Move,New Property,Semi-Furnished,Flat,1
16500000.0,"Vaishali, Ghaziabad, Delhi NCR",2385.0,28.645769,77.38511,4.0,5.0,2.0,Ready to Move,New Property,Unfurnished,Flat,1
3810000.0,"Link Road, F Block, Sector 50, Noida, Uttar Pradesh, Sector 1, Greater Noida, Delhi NCR",1050.0,28.566914,77.436434,2.0,2.0,3.0,Ready to Move,New Property,Unfurnished,Flat,0
6200000.0,"Jaypee Pavilion Court Sector 128, Noida, Sector 128, Noida, Delhi NCR",1350.0,28.520732,77.356491,2.0,2.0,3.0,Ready to Move,Resale,Unknown,Flat,0
3700000.0,"tower 2, 6th floor, Crossings Republik, Ghaziabad, Delhi NCR",1150.0,28.62804,77.437809,2.0,2.0,3.0,Ready to Move,New Property,Unknown,Flat,0
3270000.0000000005,"Nirala Aspire, GH03, Sector 16C, Hundal, Greater Noida, Uttar Pradesh 201306, Noida Extension Block C, Noida, Delhi NCR",890.0,28.610645,77.455837,2.0,2.0,3.0,Ready to Move,Resale,Unknown,Flat,0
3990000.0,"Suncity Avenue 102, Sector 102, Gurgaon Bang on Dwarka Expressway having all Facilities of a gated Society., Sector 102, Gurgaon, Delhi NCR",850.0,28.471233,76.969597,2.0,2.0,1.0,Ready to Move,Resale,Unknown,Flat,0
3500000.0,"Sector 2, Greater Noida, Sector 2, Greater Noida, Delhi NCR",960.0,28.5814311,77.4528192,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,0
5500000.0,"Gaur City 5th Avenue, Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1400.0,28.614181,77.427713,3.0,3.0,4.0,Ready to Move,Resale,Unknown,Flat,0
7300000.0,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",850.0,28.72407531738281,77.0955810546875,3.0,2.0,1.0,Ready to Move,New Property,Semi-Furnished,Flat,0
7700000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1250.0,28.436305,77.13605,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,0
10500000.0,"Sector 110A, Gurgaon, Chandan Vihar, Gurgaon, Delhi NCR",1615.0,28.513139724731445,77.02595520019531,3.0,3.0,3.0,Ready to Move,Resale,Unfurnished,Flat,0
7200000.0,"H-024, Gulshan Vivante, Sector-137, Noida, Sector 137, Noida, Delhi NCR",1200.0,28.5074613813646,77.4078166697626,2.0,2.0,3.0,Ready to Move,Resale,Unknown,Flat,0
7000000.0,"G T Road, Ghaziabad, Delhi NCR",1690.0,28.679009,77.3492951427093,3.0,3.0,2.0,Ready to Move,Resale,Unknown,Flat,1
9500000.0,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1000.0,28.721435546875,77.10701751708984,3.0,2.0,1.0,Ready to Move,New Property,Semi-Furnished,Individual House,0
15000000.0,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1450.0,28.72721290588379,77.09606170654297,4.0,3.0,1.0,Ready to Move,New Property,Semi-Furnished,Individual House,0
4800000.0,"Noida Extension, Noida, Delhi NCR",1175.0,28.616078045953845,77.42810224734058,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,1
5100000.0,"NeelPadam Kunj, Vaishali, Sector 1, Ghaziabad, Sector 1 Vaishali, Ghaziabad, Delhi NCR",1087.0,28.6443099975586,77.331787109375,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,0
14000000.0,"Sector 45, Noida, Sector 45, Noida, Delhi NCR",1845.0,28.5469297107013,77.3543872945106,3.0,3.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,0
6250000.0,"Sector 37C, Gurgaon, Delhi NCR",1400.0,28.449384,76.98441,2.0,2.0,2.0,Ready to Move,New Property,Unknown,Flat,0
8700000.0,"Sushant Lok 2, Gurgaon, Delhi NCR",1600.0,28.423049,77.08741,3.0,2.0,1.0,Ready to Move,Resale,Unfurnished,Flat,0
13000000.0,"Sector 29, Noida, Delhi NCR",1950.0,28.5697371550333,77.3324116681809,3.0,3.0,2.0,Ready to Move,Resale,Unknown,Individual House,0
15000000.0,"flat number 703, kalypso tower 4, jaypee wish town noida, sector 128, Sector 128, Noida, Delhi NCR",1800.0,28.529146,77.355843,2.0,3.0,1.0,Ready to Move,New Property,Unknown,Flat,0
5500000.0,"Noida Extension, Noida., Noida Extension, Noida, Delhi NCR",1440.0,28.587499354879053,77.44316979301459,3.0,2.0,5.0,Ready to Move,Resale,Unknown,Flat,0
4200000.0,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1040.0,28.616204,77.422256,2.0,2.0,3.0,Ready to Move,Resale,Unknown,Flat,0
3900000.0,"Noida extension., Noida Extension, Greater Noida, Delhi NCR",1025.0,28.57223,77.474898,2.0,2.0,3.0,Ready to Move,Resale,Unknown,Flat,0
10000000.0,"Sector 16 Vasundhara, Ghaziabad, Delhi NCR",1836.0,28.6571606,77.355748,3.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Individual House,1
7600000.0,"Vaishali Ghaziabad, Vaishali, Ghaziabad, Delhi NCR",1350.0,28.645769,77.38511,3.0,2.0,4.0,Ready to Move,Resale,Unknown,Flat,0
3900000.0,"Sector 81, Gurgaon, Sector 81, Gurgaon, Delhi NCR",800.0,28.387731,76.96791987,2.0,2.0,1.0,Ready to Move,Resale,Unknown,Flat,0
